Year,Month,Day,Hour,Minute,Second,HYY_DMPS.tconc
2023,01,07,06,00,00,530.84318
2023,01,07,07,00,00,613.00083
2023,01,07,08,00,00,677.11382
2023,01,07,09,00,00,711.95896
2023,01,07,10,00,00,773.18075
2023,01,07,11,00,00,574.7688
2023,01,07,12,00,00,378.82781
2023,01,07,13,00,00,337.64157
2023,01,07,14,00,00,403.97865
2023,01,07,15,00,00,1270.66426
2023,01,07,16,00,00,1227.69816
2023,01,07,17,00,00,1145.28254
2023,01,07,18,00,00,817.19344
2023,01,07,19,00,00,702.01035
2023,01,07,20,00,00,674.16
2023,01,07,21,00,00,862.12584
2023,01,07,22,00,00,829.38766
2023,01,07,23,00,00,838.89977
2023,01,08,00,00,00,883.57139
2023,01,08,01,00,00,920.45358
2023,01,08,02,00,00,942.27986
2023,01,08,03,00,00,821.35779
2023,01,08,04,00,00,765.65366
2023,01,08,05,00,00,711.63406
2023,01,08,06,00,00,628.28369
2023,01,08,07,00,00,587.61284
2023,01,08,08,00,00,969.91966
2023,01,08,09,00,00,941.38122
2023,01,08,10,00,00,710.90664
2023,01,08,11,00,00,829.81794
2023,01,08,12,00,00,869.64852
2023,01,08,13,00,00,1146.74268
2023,01,08,14,00,00,864.37341
2023,01,08,15,00,00,919.7554
2023,01,08,16,00,00,1246.91284
2023,01,08,17,00,00,1277.55516
2023,01,08,18,00,00,1149.1335
2023,01,08,19,00,00,1216.32766
2023,01,08,20,00,00,1515.80269
2023,01,08,21,00,00,1680.23515
2023,01,08,22,00,00,1913.53302
2023,01,08,23,00,00,1913.16815
2023,01,09,00,00,00,1676.52867
2023,01,09,01,00,00,1392.98517
2023,01,09,02,00,00,1204.00484
2023,01,09,03,00,00,1093.50268
2023,01,09,04,00,00,903.60539
2023,01,09,05,00,00,983.05788
2023,01,09,06,00,00,944.78006
2023,01,09,07,00,00,965.66258
2023,01,09,08,00,00,934.6375
2023,01,09,09,20,00,882.31467
2023,01,09,10,00,00,743.30237
2023,01,09,11,00,00,681.8595
2023,01,09,12,00,00,732.98338
