Year,Month,Day,Hour,Minute,Second,HYY_META.T42,HYY_META.T336
2023,01,05,16,00,00,-8.516,-8.73533
2023,01,05,17,00,00,-8.40133,-8.64833
2023,01,05,18,00,00,-8.355,-8.66317
2023,01,05,19,00,00,-8.3855,-8.64867
2023,01,05,20,00,00,-8.42683,-8.75033
2023,01,05,21,00,00,-8.5505,-8.84367
2023,01,05,22,00,00,-8.58567,-8.90167
2023,01,05,23,00,00,-8.70867,-8.98
2023,01,06,00,00,00,-8.79483,-9.08433
2023,01,06,01,00,00,-8.91617,-9.19333
2023,01,06,02,00,00,-9.05917,-9.27383
2023,01,06,03,00,00,-9.1735,-9.34317
2023,01,06,04,00,00,-9.34217,-9.4405
2023,01,06,05,00,00,-9.45983,-9.53567
2023,01,06,06,00,00,-9.654,-9.5825
2023,01,06,07,00,00,-10.00467,-9.50467
2023,01,06,08,00,00,-10.19933,-9.53517
2023,01,06,09,00,00,-10.33467,-9.938
2023,01,06,10,00,00,-10.41267,-9.999
2023,01,06,11,00,00,-10.38817,-9.98467
2023,01,06,12,00,00,-9.94283,-9.50867
2023,01,06,13,00,00,-9.5905,-9.4415
2023,01,06,14,00,00,-9.67767,-9.60683
2023,01,06,15,00,00,-9.92617,-9.53217
2023,01,06,16,00,00,-9.87333,-9.568
2023,01,06,17,00,00,-9.752,-9.5925
2023,01,06,18,00,00,-9.8275,-9.733
2023,01,06,19,00,00,-9.92383,-9.88667
2023,01,06,20,00,00,-10.03,-10.03933
2023,01,06,21,00,00,-10.50733,-10.4055
2023,01,06,22,00,00,-11.0235,-10.86083
2023,01,06,23,00,00,-11.17617,-11.07567
2023,01,07,00,00,00,-11.313,-11.19683
2023,01,07,01,00,00,-11.45383,-11.33733
2023,01,07,02,00,00,-11.28067,-11.342
2023,01,07,03,00,00,-10.9995,-11.03117
2023,01,07,04,00,00,-10.61767,-10.67517
2023,01,07,05,00,00,-10.234,-10.34567
2023,01,07,06,00,00,-9.93533,-10.08367
2023,01,07,07,00,00,-10.08033,-10.14217
2023,01,07,08,00,00,-10.06833,-10.13569
2023,01,07,09,00,00,-9.8995,-10.0165
2023,01,07,10,00,00,-9.535,-9.70033
2023,01,07,11,00,00,-9.46683,-9.649
2023,01,07,12,00,00,-9.38483,-9.56667
2023,01,07,13,00,00,-9.443,-9.63433
2023,01,07,14,00,00,-9.525,-9.718
2023,01,07,15,00,00,-9.70533,-9.86517
2023,01,07,16,00,00,-9.91183,-10.0705
2023,01,07,17,00,00,-10.1075,-10.28317
2023,01,07,18,00,00,-10.20367,-10.41533
2023,01,07,19,00,00,-10.28417,-10.5345
2023,01,07,20,00,00,-10.21267,-10.473
2023,01,07,21,00,00,-10.0315,-10.306
2023,01,07,22,00,00,-9.8495,-10.1215
2023,01,07,23,00,00,-9.67217,-9.94833
2023,01,08,00,00,00,-9.5315,-9.82467
2023,01,08,01,00,00,-9.46817,-9.74833
2023,01,08,02,00,00,-9.42967,-9.71983
2023,01,08,03,00,00,-9.30133,-9.5895
2023,01,08,04,00,00,-9.092,-9.367
2023,01,08,05,00,00,-8.8855,-9.1515
2023,01,08,06,00,00,-8.63783,-8.913
2023,01,08,07,00,00,-8.46383,-8.73583
2023,01,08,08,00,00,-8.33583,-8.6145
2023,01,08,09,00,00,-8.25767,-8.54667
2023,01,08,10,00,00,-8.21067,-8.50983
2023,01,08,11,00,00,-8.01917,-8.33133
2023,01,08,12,00,00,-7.9885,-8.30117
2023,01,08,13,00,00,-8.0385,-8.34817
2023,01,08,14,00,00,-8.19667,-8.50367
2023,01,08,15,00,00,-8.44183,-8.74967
2023,01,08,16,00,00,-8.72867,-9.0305
2023,01,08,17,00,00,-8.9195,-9.22233
2023,01,08,18,00,00,-9.19567,-9.49483
2023,01,08,19,00,00,-9.35117,-9.64333
2023,01,08,20,00,00,-9.527,-9.8195
2023,01,08,21,00,00,-9.72417,-10.025
2023,01,08,22,00,00,-9.78883,-10.08583
2023,01,08,23,00,00,-9.6605,-9.95383
2023,01,09,00,00,00,-9.483,-9.7735
2023,01,09,01,00,00,-9.218,-9.50167
2023,01,09,02,00,00,-8.97117,-9.24783
2023,01,09,03,00,00,-8.72167,-8.96733
2023,01,09,04,00,00,-8.76383,-9.01417
2023,01,09,05,00,00,-8.9775,-9.23883
2023,01,09,06,00,00,-9.03267,-9.286
2023,01,09,07,00,00,-8.96233,-9.215
2023,01,09,08,00,00,-8.86917,-9.10267
2023,01,09,09,00,00,-8.701,-8.98483
2023,01,09,10,00,00,-8.7155,-9.0245
2023,01,09,11,00,00,-8.43583,-8.74633
2023,01,09,12,00,00,-8.00083,-8.34433
2023,01,09,13,00,00,-7.65667,-7.99933
2023,01,09,14,00,00,-7.361,-7.67133
2023,01,09,15,00,00,-6.95817,-7.2515
2023,01,09,16,00,00,-6.79783,-7.07233
2023,01,09,17,00,00,-6.79667,-7.058
2023,01,09,18,00,00,-6.74083,-6.99583
2023,01,09,19,00,00,-6.7175,-6.973
2023,01,09,20,00,00,-6.77683,-7.04267
2023,01,09,21,00,00,-6.69183,-6.97367
2023,01,09,22,00,00,-6.608,-6.89883
2023,01,09,23,00,00,-6.62883,-6.93867
2023,01,10,00,00,00,-6.6505,-6.9425
2023,01,10,01,00,00,-6.75233,-6.9595
2023,01,10,02,00,00,-6.3365,-6.48667
2023,01,10,03,00,00,-5.83867,-5.99833
2023,01,10,04,00,00,-5.74017,-5.93467
2023,01,10,05,00,00,-5.83833,-6.04617
2023,01,10,06,00,00,-6.0455,-6.28783
2023,01,10,07,00,00,-6.335,-6.57733
